Timestamp;co2;humidity;light;soilHumidity;soilTemperature;temperature
2022-02-10 02:20:25;432.0851063829787;27;9;36.79507278835387;23;23
2022-02-10 02:40:35;438.6808510638298;27;9;36.68756998880178;23;23
2022-02-10 03:00:45;429.72340425531917;27;9;36.622620380739086;23;23
2022-02-10 03:20:55;430.6170212765957;27;9;36.89137737961927;23;23
2022-02-10 03:41:05;430.54545454545456;27;9;36.9090909090909;23;23
2022-02-10 04:01:15;426.4347826086956;27;9;36.86956521739132;23;23
2022-02-10 04:21:25;428.25;27;9;36.68421052631579;23;23
2022-02-10 04:41:35;381;24.75;8.25;56.14912280701755;21.083333333333332;21.083333333333332
2022-02-10 05:01:45;420;26.964285714285715;9;36.59398496240603;23;22.857142857142858
2022-02-10 05:21:55;419.6363636363636;27;9;37.10813397129186;23;22.09090909090909
2022-02-10 05:42:05;414.1509433962264;27;9;37.01886792452828;23;22
2022-02-10 06:02:15;415.4259259259259;27;9;37.136452241715396;23;22
2022-02-10 06:22:25;414.27272727272725;27;9;36.964593301435386;23;22
2022-02-10 06:42:35;413.81481481481484;27;9;36.33138401559455;23;22.40740740740741
2022-02-10 07:02:45;411.37254901960785;26.215686274509803;9;36.72858617131064;23;23
2022-02-10 07:22:55;409.5686274509804;26.019607843137255;9;36.57172342621259;23;23
2022-02-10 07:43:05;404.8301886792453;26;9;35.62462760675273;23;23
2022-02-10 08:03:15;397.6111111111111;26;9;35.36062378167644;23;23
2022-02-10 08:23:25;405.84615384615387;26;9;35.18825910931173;23;23.057692307692307
2022-02-10 08:43:35;407.04;26;9;34.30526315789474;23;24
2022-02-10 09:03:45;403.9583333333333;26;9;34.33771929824563;23;24
2022-02-10 09:23:55;397.1224489795918;26;9;33.96133190118153;23;24
2022-02-10 09:44:05;395.60869565217394;26;9;33.96338672768879;23;24
2022-02-10 10:04:15;401.5833333333333;26;9;34.17543859649121;23;24
2022-02-10 10:24:25;401.95652173913044;26;9;33.643020594965684;23;24
2022-02-10 10:44:35;396.7391304347826;26;9;33.839816933638424;23;24
2022-02-10 11:04:45;394.1363636363636;26;9;33.78468899521532;23;24
2022-02-10 11:24:55;393.4651162790698;26;9;33.09914320685436;23;24.023255813953487
2022-02-10 11:45:05;392.8139534883721;26;9;32.82007343941246;23;24.86046511627907
2022-02-10 12:05:15;394.9166666666667;26;9;33.0482456140351;23;25
2022-02-10 12:45:35;379.70588235294116;25.235294117647058;9.705882352941176;39.578947368421055;22.323529411764707;24.264705882352942
2022-02-10 13:05:45;394.1132075471698;26;10;33.310824230387304;23;25
2022-02-10 13:25:55;392.05882352941177;26;10;33.11042311661506;23;25
2022-02-10 13:46:05;381.45283018867923;26;10;32.6395233366435;23;25
2022-02-10 14:06:15;385.2830188679245;26;10;32.94538232373385;23;25
2022-02-10 14:26:25;384.75471698113205;26;10;32.45680238331677;23;25
2022-02-10 14:46:35;410.88461538461536;26;401.61538461538464;35.13765182186235;23;25
2022-02-10 15:06:45;451.6909090909091;26;425.56363636363636;35.37033492822966;23;25.563636363636363
2022-02-10 15:26:55;527.7307692307693;26.076923076923077;224.92307692307693;34.226720647773284;23;26
2022-02-10 15:47:05;629.1666666666666;26.037037037037038;419.7962962962963;35.60428849902536;23;26
2022-02-10 16:07:15;668.188679245283;26;426.35849056603774;36.38530287984112;23;26
2022-02-10 16:27:25;668.52;26.28;310.12;35.54526315789472;23;26
2022-02-10 16:47:35;643.0612244897959;26;225.6530612244898;34.80558539205154;23;26
2022-02-10 17:07:45;656.7291666666666;26.020833333333332;428.6041666666667;36.37938596491226;23;26
2022-02-10 17:27:55;696.1428571428571;26.79591836734694;415.6326530612245;35.61117078410313;23;26
2022-02-10 17:48:05;745.9333333333333;27;415.4;35.15321637426903;23;26
2022-02-10 18:08:15;798.0416666666666;27.041666666666668;417.0416666666667;35.38815789473684;23;26
2022-02-10 18:28:25;842.2045454545455;27.204545454545453;417.40909090909093;35.150717703349265;23;26
2022-02-10 18:48:35;887.063829787234;27.95744680851064;427.1276595744681;35.89249720044791;23;26
2022-02-10 19:08:45;944.6444444444444;28;174.33333333333334;33.39883040935671;23;26
2022-02-10 19:28:55;890.25;28;9;32.51196172248805;23;26
2022-02-10 19:49:05;850.3863636363636;28;9;32.64354066985647;23;25.477272727272727
2022-02-10 20:09:15;822.9565217391304;28;9;33.147869674185465;23;25
2022-02-10 20:49:35;713.1428571428571;26.666666666666668;8.571428571428571;43.78947368421053;21.904761904761905;23.80952380952381
2022-02-10 21:09:45;726.4545454545455;28;9;33.485167464114824;23;24.945454545454545
2022-02-10 21:29:55;699.1296296296297;28;9;33.374269005847964;23;24.11111111111111
2022-02-10 21:50:05;677.0566037735849;28;9;33.81330685203576;23;24
2022-02-10 22:10:15;650.5471698113207;28;9;33.6782522343595;23;24
2022-02-10 22:30:25;627.7169811320755;28;9;33.86097318768617;23;24
2022-02-10 22:50:35;609.4814814814815;28;9;33.92202729044833;23;24
2022-02-10 23:10:45;594.3333333333334;28;9;33.276315789473685;23;24
2022-02-10 23:30:55;577.84;28;9;33.793684210526315;23;24
2022-02-10 23:51:05;559.3018867924528;28;9;33.968222442899695;23;24
2022-02-11 00:11:15;544.8;28;9;33.32842105263157;23;23.96
2022-02-11 00:31:25;540.3541666666666;28;9;33.583333333333314;23;23.645833333333332
2022-02-11 00:51:35;527.7916666666666;28;9;33.84649122807016;23;23
2022-02-11 01:11:45;522.2826086956521;28;9;33.279176201373005;23;23
2022-02-11 01:31:55;513.2608695652174;28;9;33.56292906178489;23;23
2022-02-11 01:52:05;506.6363636363636;28;9;33.44736842105263;23;23
2022-02-11 02:12:15;500.6136363636364;28;9;33.53349282296652;23;23
